COMMUNITY_ACCEPT	Kabul et
COMMUNITY_ADD_FAVORITE_QUESTION	Favorilere eklensin mi?
COMMUNITY_AUTO_HUNT	Otomatik av kullanýyor
COMMUNITY_CHANNEL_INFO	Kanal: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Eþ için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Arkadaþlar için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Lonca üyeleri için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Eþimin de engelle
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Arkadaþlarýmýn da engelle
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Lonca üyelerinin de engelle
COMMUNITY_CONFIG_INIT	Sýfýrla
COMMUNITY_CONFIG_INIT_QUESTION	Ayarlarý sýfýrlamak istiyor musun?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna seviyeni göstermek için seç.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna konumunu göstermek için seç.
COMMUNITY_CONFIG_MAIN_BLOCK	Engelleme seçenekleri
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Çevrimiçi uyarý ayarlarý
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Profil bildirim ayarlarý
COMMUNITY_CONFIG_OFF	KAPALI
COMMUNITY_CONFIG_ON	AÇIK
COMMUNITY_CONFIG_QUESTION_SAVE	Deðiþiklikleri kaydetmek istiyor musun?
COMMUNITY_CONFIG_SAVE	Kaydet
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Ticareti engelle (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Arkadaþlýk isteðini engelle
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Lonca davetini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Grup davetlerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Grup isteklerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Fýsýltýyý engelle
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Çevrimiçi uyarýlar
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Profili göster
COMMUNITY_CONNECT	Çevrimiçi
COMMUNITY_DELETE_FAVORITE_QUESTION	Favorilerden kaldýrýlsýn mý?
COMMUNITY_DISCONNECT	Çevrimdýþý
COMMUNITY_DISCONNECT_DIALOG	Bu listedeki diðer kiþilere çevrimdýþý görüneceksin.
COMMUNITY_ERROR	Bilinmeyen
COMMUNITY_FAVORITE_BUTTON	Favorilere
COMMUNITY_GUILD_INFO	Lonca Bilgisi
COMMUNITY_HAS_NO_GUILD	Þu anda bir loncada deðilsin.
COMMUNITY_HAS_NO_GUILD_2	Mevcut loncalara göz at.
COMMUNITY_LEFT_SEAT	AFK
COMMUNITY_LEFT_SEAT_DIALOG	Bu listedeki diðer kiþilere AFK olarak görüneceksin.
AFK iken diðer oyuncularýn mesajlarýný
ve grup davetlerini kaçýrabilirsin.
COMMUNITY_MAIN_TAB_CONFIG	Ayar
COMMUNITY_MAIN_TAB_FRIEND	Arkadaþ
COMMUNITY_MAIN_TAB_GUILD	Lonca
COMMUNITY_MAIN_TITLE	Topluluk
COMMUNITY_MAP_INFO	Konum: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Engellemeyi kaldýr
COMMUNITY_MESSENGER_FRIEND_DELETE	Sil
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Engelleme listesi
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Arkadaþ listesi
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	Lonca Üyeleri
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Arkadaþlýk istekleri
COMMUNITY_MESSENGER_WHISPER	Fýsýltý
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Mesaj yazmak için týkla.
COMMUNITY_MY_STATUS_MESSAGE	Durum mesajý
COMMUNITY_NO_GUILD	Lonca yok
COMMUNITY_PARTY_INVITE	Grup daveti
COMMUNITY_REFUSE	Reddet
COMMUNITY_SHOP_OPEN	Market kullanýlýyor
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Burada mesaj yazabilirsin.
COMMUNITY_TOOLTIP_LOVE_POINT	Sevgi Puaný: %d %%

TASKBAR_COMMUNITY	Topluluk
