ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
ATTR_67_ADD	Bonus ekle
ATTR_67_ADD_TITLE	Bonus ekle
ATTR_67_MATERIAL_SLOT_TITLE	Parça
ATTR_67_REGIST_SLOT_TITLE	Hedef eþya
ATTR_67_SUPPORT_SLOT_TITLE	Ekleme
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_POTION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_RESTART	Canlandýrma
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_OPTION_ACCEPT	Onayla
AUTO_OPTION_CLEAR	Sýfýrla
AUTO_OPTION_RANGE	Seviye
AUTO_POSITION_SETTING	Ýksirler
AUTO_POTION_SETTING	Ýksirler
AUTO_RANGE_ACCEPT	Onayla
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
BANNER_ATTENDANCE_BUTTON	Patron Avcýsý Etkinliði
BANNER_BATTLE_ROYALE_BUTTON	Battle Royale
BANNER_BLACK_AND_WHITE_BUTTON	Kahin Yarýþmasý
BANNER_CATCHKING_BUTTON	Kralý yakala
BANNER_EASTER_BUTTON	YUMURTA BAYRAMI
BANNER_FISH_BUTTON	BALIK YAPBOZ OYUNU
BANNER_FLOWER_BUTTON	ÇÝÇEK ÇOÇUKLAR
BANNER_FOOTBALL_BUTTON	FUTBOL
BANNER_FORCE_EVENT	Kuvvet Yankýlarý
BANNER_GOLDEN_LAND_BUTTON	Altýn Topraklar
BANNER_HALLOWEEN_BUTTON	CADILAR BAYRAMI!
BANNER_LUCKY_EVENT	CANAVAR AVI
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Metin Ateþi
BANNER_MINIBOSS_BUTTON	Zodyak kýyameti
BANNER_MONSTERBACK_BUTTON	Hayat puaný kullan
BANNER_MYSTERY_BOX_BUTTON	GANÝMET-ETKÝNLÝÐÝ I
BANNER_MYSTERY_BOX_BUTTON_2	GANÝMET-ETKÝNLÝÐÝ II
BANNER_NEW_XMAS_BUTTON	YILBAÞI
BANNER_OKEY_BUTTON	Okey Etkinliði
BANNER_OLYMPIC_BUTTON	KAHRAMAN ETKÝNLÝÐÝ
BANNER_OTHER_WORLD_BUTTON	Öbür Dünyaya Seyahat
BANNER_RAMADAN_BUTTON	RAMAZAN
BANNER_ROULETTE_BUTTON	Kan Ritüeli
BANNER_SNOWFLAKE_STICK_EVENT_BUTTON	Kar Tanesi Etkinliði
BANNER_SOUL_BUTTON	RUH ETKÝNLÝÐÝ
BANNER_SPORTS_MATCH_BUTTON	Þampiyonluk Etkinliði
BANNER_SUMMER_BUTTON	YAZ ETKÝNLÝÐÝ
BANNER_TREASURE_HUNT	Hazine avý
BANNER_VALENTINE_BUTTON	SEVGÝLÝLER GÜNÜ
BANNER_WORLD_BOSS_BUTTON	Dünya patronu
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Savaþ Bölgesi
BATTLE_FIELD_OPERATION_TIME	Savaþ Bölgesi'ne giriþ %s.00 - %s.00 arasý mümkün.
BATTLE_FIELD_OPERATION_TIME_ALL	Giriþ her zaman mümkün.
BATTLE_FIELD_OPERATION_TIME_END	Savaþ Bölgesi %s sa. daha açýk.
BATTLE_FIELD_OPERATION_TIME_NA	Giriþ þu anda mümkün deðil.
BATTLE_FIELD_OPERATION_TIME_OPEN	%s saat içinde %s saat boyunca giriþ yapýlabilir
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallýk
BATTLE_FILED_RANK_NAME	Ýsim
BATTLE_FILED_RANK_POINT	Puan
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Katýl
BATTLE_ROYALE_MAINBUTTON_RANKING	Sýralama listesi
BATTLE_ROYALE_RETURN_TO_TOWN	Köye geri dön
BELT_INVENTORY_TITLE	Kemer envanteri
BNW_GAME_UI_COM	Düþman
